word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,14.49330689999988,None,space,2.811863800001447,14.49330689999988,None,,,,,,,,,10,001,2020_Aug_08_0217,untitled,2020.1.3,59.80610859643348,
VALLEY,old,0,0,0,2,,,,,,,17.941660199998296,None,17.941660199998296,None,17.8523944999979,None,17.8523944999979,None,10,001,2020_Aug_08_0217,untitled,2020.1.3,59.80610859643348,
PHONE,old,0,1,1,1,,,,,,,18.54069129999698,None,18.54069129999698,None,18.440755899999203,None,18.440755899999203,None,10,001,2020_Aug_08_0217,untitled,2020.1.3,59.80610859643348,
FRIEND,old,0,2,2,0,,,,,,,19.140364499999123,None,19.140364499999123,None,19.040239899997687,None,19.040239899997687,None,10,001,2020_Aug_08_0217,untitled,2020.1.3,59.80610859643348,
