word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.739853300001414,None,space,1.5180485000018962,7.739853300001414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
PHONE,old,y,0,0,0,1,,,,,,,,,,,9.893242900001496,None,9.893242900001496,None,9.800363999998808,None,9.800363999998808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
FRIEND,old,y,0,1,1,0,,,,,,,,,,,10.493111899999349,None,10.493111899999349,None,10.393038900001557,None,10.393038900001557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
MOUNTAIN,old,y,0,2,2,2,,,,,,,,,,,11.092808599998534,None,11.092808599998534,None,10.992611300000135,None,10.992611300000135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
,,,,,,,,,,,,,,,,,,,,,,,,,11.590889200000674,None,space,0.3466470000021218,11.590889200000674,None,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
GLASS,old,y,,,,,0,0,0,4,,,,,,,15.423627500000293,None,15.423627500000293,None,,,,,,,,,,,12.464830699998856,None,12.464830699998856,None,2,1.0965313000015158,12.464830699998856,None,12.464830699998856,None,14.091079099998751,None,14.091079099998751,None,r,1.3102293999982066,14.091079099998751,None,14.091079099998751,None,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
PET,old,y,,,,,0,1,1,9,,,,,,,18.155426299999817,None,18.155426299999817,None,,,,,,,,,,,15.92376879999938,None,15.92376879999938,None,3,0.6296863999996276,15.92376879999938,None,15.92376879999938,None,17.072897199999716,None,17.072897199999716,None,f,1.0645986000017729,17.072897199999716,None,17.072897199999716,None,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
None,None,None,,,,,0,2,2,22,,,,,,,21.67021400000158,None,21.67021400000158,None,,,,,,,,,,,18.655158099998516,None,18.655158099998516,None,3,0.9784399999989546,18.655158099998516,None,18.655158099998516,None,20.15458639999997,None,20.15458639999997,None,f,1.494664300000295,20.15458639999997,None,20.15458639999997,None,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
WIRE,new,n,,,,,0,3,3,12,,,,,,,24.735249400000612,None,24.735249400000612,None,,,,,,,,,,,22.169903999998496,None,22.169903999998496,None,3,0.9275378999991517,22.169903999998496,None,22.169903999998496,None,23.619178199998714,None,23.619178199998714,None,r,1.0940186000007088,23.619178199998714,None,23.619178199998714,None,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
None,None,None,,,,,0,4,4,23,,,,,,,28.08333069999935,None,28.08333069999935,None,,,,,,,,,,,25.234854999998788,None,25.234854999998788,None,2,1.0626359000016237,25.234854999998788,None,25.234854999998788,None,26.81739910000033,None,26.81739910000033,None,n,1.2401121000002604,26.81739910000033,None,26.81739910000033,None,10,001,2020_Aug_08_0132,untitled,2020.1.3,59.97530217145591,
