word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.028613400001632,None,space,0.43124019999959273,8.028613400001632,None,,,,,,,,,,,,,,,10,001,2020_Aug_08_0146,untitled,2020.1.3,60.040947925494436,
VALLEY,old,0,0,0,2,,,,,,,,,,,9.103268499999103,None,9.103268499999103,None,9.009058800002094,None,9.009058800002094,None,,,,,,,10,001,2020_Aug_08_0146,untitled,2020.1.3,60.040947925494436,
PHONE,old,0,1,1,1,,,,,,,,,,,9.703154999999242,None,9.703154999999242,None,9.60282189999998,None,9.60282189999998,None,,,,,,,10,001,2020_Aug_08_0146,untitled,2020.1.3,60.040947925494436,
FRIEND,old,0,2,2,0,,,,,,,,,,,10.302792700000282,None,10.302792700000282,None,10.202623100001802,None,10.202623100001802,None,,,,,,,10,001,2020_Aug_08_0146,untitled,2020.1.3,60.040947925494436,
,,,,,,,,,,,,,,,,,,,,,,,,10.800781500001904,None,space,0.451252700000623,10.800781500001904,None,10,001,2020_Aug_08_0146,untitled,2020.1.3,60.040947925494436,
,,,,,,,,,,,,,,,,11.285354499999812,None,11.285354499999812,None,,,,,,,,,,,,,,,,,
