word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,polygon_5.started,polygon_5.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,23.691058399999747,None,space,0.860992099998839,23.691058399999747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
FRIEND,old,0,0,0,0,,,,,,,,,,,25.1946054,None,25.1946054,None,25.099287999997614,None,25.099287999997614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
VALLEY,old,0,1,1,2,,,,,,,,,,,25.79394229999889,None,25.79394229999889,None,25.693793799997366,None,25.693793799997366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
PHONE,old,0,2,2,1,,,,,,,,,,,26.393397599997115,None,26.393397599997115,None,26.293701299997338,None,26.293701299997338,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
,,,,,,,,,,,,,,,,,,,,,,,,26.892092399997637,None,space,1.0677120000000286,26.892092399997637,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
VALLEY,old,,,,,0,0,0,2,,,,,,,32.23989419999998,None,32.23989419999998,None,,,,,,,,,,,28.497843999997713,None,28.497843999997713,None,2,1.7660077000000456,28.497843999997713,None,28.497843999997713,None,28.497843999997713,None,30.29119079999873,None,30.29119079999873,None,30.791061699997954,None,30.791061699997954,None,r,1.4325472000018635,30.791061699997954,None,30.791061699997954,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
AUGUST,new,,,,,0,1,1,9,,,,,,,35.15511589999733,None,35.15511589999733,None,,,,,,,,,,,32.740850399997726,None,32.740850399997726,None,3,1.2509028999993461,32.740850399997726,None,32.740850399997726,None,32.740850399997726,None,34.022565600000235,None,34.022565600000235,None,34.52243839999937,None,34.52243839999937,None,f,0.6133586000032665,34.52243839999937,None,34.52243839999937,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
WIRE,new,,,,,0,2,2,7,,,,,,,38.836274799999956,None,38.836274799999956,None,,,,,,,,,,,35.655329899997014,None,35.655329899997014,None,3,1.7206227999995463,35.655329899997014,None,35.655329899997014,None,35.655329899997014,None,37.40397969999685,None,37.40397969999685,None,37.90410580000025,None,37.90410580000025,None,f,0.9038462999997137,37.90410580000025,None,37.90410580000025,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
PHONE,old,,,,,0,3,3,1,,,,,,,42.468067099998734,None,42.468067099998734,None,,,,,,,,,,,39.33668639999814,None,39.33668639999814,None,6,1.3111835999989125,39.33668639999814,None,39.33668639999814,None,39.33668639999814,None,40.66883939999752,None,40.66883939999752,None,41.1687955999987,None,41.1687955999987,None,r,1.2713123000030464,41.1687955999987,None,41.1687955999987,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
STREET,new,,,,,0,4,4,8,,,,,,,45.34930829999939,None,45.34930829999939,None,,,,,,,,,,,42.96807599999738,None,42.96807599999738,None,3,1.1358218000023044,42.96807599999738,None,42.96807599999738,None,42.96807599999738,None,44.133329199998116,None,44.133329199998116,None,44.6335388999978,None,44.6335388999978,None,r,0.6945355999996536,44.6335388999978,None,44.6335388999978,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
FRIEND,old,,,,,0,5,5,0,,,,,,,47.79814970000007,None,47.79814970000007,None,,,,,,,,,,,45.849823199998355,None,45.849823199998355,None,3,0.8781310000013036,45.849823199998355,None,45.849823199998355,None,45.849823199998355,None,46.74911489999795,None,46.74911489999795,None,47.248473899999226,None,47.248473899999226,None,r,0.5195187000026635,47.248473899999226,None,47.248473899999226,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
LAND,old,,,,,0,6,6,4,,,,,,,50.863095499997144,None,50.863095499997144,None,,,,,,,,,,,48.298348299998906,None,48.298348299998906,None,6,1.0691268000009586,48.298348299998906,None,48.298348299998906,None,48.298348299998906,None,49.397183199998835,None,49.397183199998835,None,49.89700139999695,None,49.89700139999695,None,f,0.9509062999968592,49.89700139999695,None,49.89700139999695,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
TODAY,new,,,,,0,7,7,10,,,,,,,53.661755999997695,None,53.661755999997695,None,,,,,,,,,,,51.363155899998674,None,51.363155899998674,None,6,1.0847049000003608,51.363155899998674,None,51.363155899998674,None,51.363155899998674,None,52.4786912999989,None,52.4786912999989,None,52.97852259999854,None,52.97852259999854,None,r,0.6615038000018103,52.97852259999854,None,52.97852259999854,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
PET,new,,,,,0,8,8,6,,,,,,,56.06035439999687,None,56.06035439999687,None,,,,,,,,,,,54.16171099999701,None,54.16171099999701,None,4,0.8943099000025541,54.16171099999701,None,54.16171099999701,None,54.16171099999701,None,55.0772541999977,None,55.0772541999977,None,55.577373799998895,None,55.577373799998895,None,r,0.46265609999682056,55.577373799998895,None,55.577373799998895,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
GLOBE,old,,,,,0,9,9,5,,,,,,,58.97528079999756,None,58.97528079999756,None,,,,,,,,,,,56.56016869999803,None,56.56016869999803,None,6,0.9598501000000397,56.56016869999803,None,56.56016869999803,None,56.56016869999803,None,57.542592499998136,None,57.542592499998136,None,58.04237409999769,None,58.04237409999769,None,r,0.9096481999986281,58.04237409999769,None,58.04237409999769,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
GLASS,old,,,,,0,10,10,3,,,,,,,62.423256399997626,None,62.423256399997626,None,,,,,,,,,,,59.47548749999987,None,59.47548749999987,None,6,1.6203510999985156,59.47548749999987,None,59.47548749999987,None,59.47548749999987,None,61.123861999996734,None,61.123861999996734,None,61.62413949999973,None,61.62413949999973,None,r,0.7838085999974282,61.62413949999973,None,61.62413949999973,None,,,00,001,2020_Aug_08_0157,untitled,2020.1.3,59.913999444679966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.92128919999959,None,,,,,,,
