word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,polygon_5.started,polygon_5.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,10.281837699993048,None,space,1.5811936000245623,10.281837699993048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
FRIEND,old,0,0,0,0,,,,,,,,,,,12.902473599999212,None,12.902473599999212,None,12.554412800003774,None,12.554412800003774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
PHONE,old,0,1,1,1,,,,,,,,,,,13.899720600049477,None,13.899720600049477,None,13.399540200014599,None,13.399540200014599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
VALLEY,old,0,2,2,2,,,,,,,,,,,14.899408700002823,None,14.899408700002823,None,14.3991234000423,None,14.3991234000423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
,,,,,,,,,,,,,,,,,,,,,,,,15.398658699996304,None,space,1.4882442000089213,15.398658699996304,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
PHONE,old,,,,,0,0,0,1,,,,,,,29.307653500000015,None,29.307653500000015,None,,,,,,,,,,,17.41874450002797,None,17.41874450002797,None,6,3.1479622999904677,17.41874450002797,None,17.41874450002797,None,17.41874450002797,None,20.612162900040857,None,20.612162900040857,None,21.112116100033745,None,21.112116100033745,None,r,8.030578200006858,21.112116100033745,None,21.112116100033745,None,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
AUGUST,new,,,,,0,1,1,9,,,,,,,36.402958300022874,None,36.402958300022874,None,,,,,,,,,,,29.830352700024378,None,29.830352700024378,None,6,4.2324744000216015,29.830352700024378,None,29.830352700024378,None,29.830352700024378,None,34.08748230000492,None,34.08748230000492,None,34.89047630003188,None,34.89047630003188,None,f,1.492056799994316,34.89047630003188,None,34.89047630003188,None,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
TODAY,new,,,,,0,2,2,10,,,,,,,39.78503140003886,None,39.78503140003886,None,,,,,,,,,,,36.90249720000429,None,36.90249720000429,None,6,1.7602006000233814,36.90249720000429,None,36.90249720000429,None,36.90249720000429,None,38.6853694000165,None,38.6853694000165,None,39.18513930001063,None,39.18513930001063,None,f,0.5823460000101477,39.18513930001063,None,39.18513930001063,None,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
PET,new,,,,,0,3,3,6,,,,,,,42.61690500000259,None,42.61690500000259,None,,,,,,,,,,,40.28450000000885,None,40.28450000000885,None,6,1.2179983999812976,40.28450000000885,None,40.28450000000885,None,40.28450000000885,None,41.53353450004943,None,41.53353450004943,None,42.033141300024,None,42.033141300024,None,f,0.5574637000099756,42.033141300024,None,42.033141300024,None,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
GLASS,old,,,,,0,4,4,3,,,,,,,45.731321200029925,None,45.731321200029925,None,,,,,,,,,,,43.116266200027894,None,43.116266200027894,None,6,1.2665667000110261,43.116266200027894,None,43.116266200027894,None,43.116266200027894,None,44.39882679999573,None,44.39882679999573,None,44.8982740000356,None,44.8982740000356,None,f,0.8123011999996379,44.8982740000356,None,44.8982740000356,None,,,001,001,2020_Aug_11_2154,untitled,2020.1.3,60.01813747951342,
