word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.997358799999347,None,space,0.3328207000013208,7.997358799999347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09,001,2020_Aug_08_0131,untitled,2020.1.3,60.072254908100255,
PHONE,old,y,0,0,0,1,,,,,,,,,,,8.977026900000055,None,8.977026900000055,None,8.882508499998949,None,8.882508499998949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,09,001,2020_Aug_08_0131,untitled,2020.1.3,60.072254908100255,
FRIEND,old,y,0,1,1,0,,,,,,,,,,,9.576892199998838,None,9.576892199998838,None,9.476791400000366,None,9.476791400000366,None,,,,,,,,,,,,,,,,,,,,,,,,,,,09,001,2020_Aug_08_0131,untitled,2020.1.3,60.072254908100255,
MOUNTAIN,old,y,0,2,2,2,,,,,,,,,,,10.17647240000224,None,10.17647240000224,None,10.076329200001055,None,10.076329200001055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,09,001,2020_Aug_08_0131,untitled,2020.1.3,60.072254908100255,
,,,,,,,,,,,,,,,,,,,,,,,,,10.674543699999049,None,space,0.31938480000098934,10.674543699999049,None,,,,,,,,,,,,,,,,,,,,,09,001,2020_Aug_08_0131,untitled,2020.1.3,60.072254908100255,
None,None,None,,,,,0,0,0,16,,,,,,,15.006821599999967,None,15.006821599999967,None,,,,,,,,,,,11.528555500000948,None,11.528555500000948,None,3,1.5615791000018362,11.528555500000948,None,11.528555500000948,None,13.607834000002185,None,13.607834000002185,None,r,1.3702179000028991,13.607834000002185,None,13.607834000002185,None,09,001,2020_Aug_08_0131,untitled,2020.1.3,60.072254908100255,
