word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,textBlank500.started,textBlank500.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon_2.started,polygon_2.stopped,textresp.started,textresp.stopped,textQuestion.started,textQuestion.stopped,key_response.keys,key_response.corr,key_response.rt,key_response.started,key_response.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.7068608999998105,None,space,0.9180714000012813,7.7068608999998105,None,,,,,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
FRIEND,old,y,0,0,0,0,,,,,,,,,,,10.163759900000514,None,9.174122200000056,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
PHONE,old,y,0,1,1,1,,,,,,,,,,,11.662939699999697,None,10.663339000000633,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
GLASS,old,y,0,2,2,4,,,,,,,,,,,13.162119900000107,None,12.162699599999542,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
MOUNTAIN,old,y,0,3,3,2,,,,,,,,,,,14.661237300000721,None,13.661904500000674,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
LAND,old,y,0,4,4,6,,,,,,,,,,,16.160371100000702,None,15.160997900000439,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
VALLEY,old,y,0,5,5,3,,,,,,,,,,,17.659600700000738,None,16.659991599999557,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
GLOBE,old,y,0,6,6,7,,,,,,,,,,,19.158660500001133,None,18.15930970000045,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
WRENCH,old,y,0,7,7,5,,,,,,,,,,,20.657762700000603,None,19.658389199999874,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
HAMMER,old,y,0,8,8,8,,,,,,,,,,,22.157008500000302,None,21.157592800000202,None,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
,,,,,,,,,,,,,,,,,,,,,22.656920499999615,None,space,1.5438240000003134,22.656920499999615,None,,,,,,,,,,,,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
None,None,None,,,,,0,0,0,25,,,,,,,38.314424100000906,None,,,,,,,,,25.066196199999467,None,25.066196199999467,26.0732308000006,25.066196199999467,None,y,0,13.230406599999696,25.066196199999467,None,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
None,None,None,,,,,0,1,1,33,,,,,,,39.913854500000525,None,,,,,,,,,38.81599889999961,None,38.81599889999961,39.81547479999972,38.81599889999961,None,n,0,1.080641699998523,38.81599889999961,None,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
None,None,None,,,,,0,2,2,32,,,,,,,41.179645600001095,None,,,,,,,,,40.41516500000034,None,40.41516500000034,None,40.41516500000034,None,y,0,0.7375037000001612,40.41516500000034,None,01,001,2020_Aug_08_0107,untitled,2020.1.3,60.034387697470216,
