word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,10.137938500000018,None,space,0.38185209999937797,10.137938500000018,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
FRIEND,old,y,0,0,0,0,,,,,,,,,,,11.167734399998153,None,11.167734399998153,None,11.072889999999461,None,11.072889999999461,None,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
MOUNTAIN,old,y,0,1,1,2,,,,,,,,,,,11.767349599998852,None,11.767349599998852,None,11.667144999999437,None,11.667144999999437,None,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
PHONE,old,y,0,2,2,1,,,,,,,,,,,12.366738400000031,None,12.366738400000031,None,12.267048499998054,None,12.267048499998054,None,,,,,,,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
,,,,,,,,,,,,,,,,,,,,,,,,,12.865298099997744,None,space,0.550305799999478,12.865298099997744,None,,,,,,,,,,,,,,,,,,,,,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,0,0,15,,,,,,,18.43036359999678,None,18.43036359999678,None,,,,,,,,,,,13.936342899996816,None,13.936342899996816,None,3,2.279691499999899,13.936342899996816,None,13.936342899996816,None,16.231384899998375,None,16.231384899998375,None,r,2.168237900001259,16.231384899998375,None,16.231384899998375,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
PET,old,y,,,,,0,1,1,9,,,,,,,21.0454608,None,21.0454608,None,,,,,,,,,,,18.929959999997664,None,18.929959999997664,None,3,1.0541975000014645,18.929959999997664,None,18.929959999997664,None,20.01303939999707,None,20.01303939999707,None,r,1.0027449000008346,20.01303939999707,None,20.01303939999707,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
AUGUST,new,n,,,,,0,2,2,11,,,,,,,23.57734259999779,None,23.57734259999779,None,,,,,,,,,,,21.54674840000007,None,21.54674840000007,None,3,1.0771473000022525,21.54674840000007,None,21.54674840000007,None,22.64487359999839,None,22.64487359999839,None,r,0.9072693999987678,22.64487359999839,None,22.64487359999839,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,3,3,22,,,,,,,26.59233349999704,None,26.59233349999704,None,,,,,,,,,,,24.077189999999973,None,24.077189999999973,None,3,1.7228694000004907,24.077189999999973,None,24.077189999999973,None,25.82636789999742,None,25.82636789999742,None,f,0.7415150999986508,25.82636789999742,None,25.82636789999742,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,4,4,18,,,,,,,29.290907899998274,None,29.290907899998274,None,,,,,,,,,,,27.092161900000065,None,27.092161900000065,None,1,1.1716687000007369,27.092161900000065,None,27.092161900000065,None,28.29133009999714,None,28.29133009999714,None,r,0.9808050999999978,28.29133009999714,None,28.29133009999714,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
