word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
[,None,None,,,,,0,5,5,30,,,,,,,32.85549399999945,None,32.85549399999945,None,,,,,,,,,,,29.79050659999848,None,29.79050659999848,None,5,2.0016035999979067,29.79050659999848,None,29.79050659999848,None,31.822977599997103,None,31.822977599997103,None,r,1.0089662999998836,31.822977599997103,None,31.822977599997103,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
VALLEY,old,y,,,,,0,6,6,3,,,,,,,35.18744979999974,None,35.18744979999974,None,,,,,,,,,,,33.35515959999975,None,33.35515959999975,None,3,1.16476220000186,33.35515959999975,None,33.35515959999975,None,34.53784889999952,None,34.53784889999952,None,r,0.6301530000018829,34.53784889999952,None,34.53784889999952,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,7,7,29,,,,,,,42.916501899999275,None,42.916501899999275,None,,,,,,,,,,,35.6870842999997,None,35.6870842999997,None,3,6.240884899998491,35.6870842999997,None,35.6870842999997,None,41.950378899997304,None,41.950378899997304,None,r,0.9455305999981647,41.950378899997304,None,41.950378899997304,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,8,8,20,,,,,,,44.63223659999858,None,44.63223659999858,None,,,,,,,,,,,43.41632359999858,None,43.41632359999858,None,3,0.8797431999992114,43.41632359999858,None,43.41632359999858,None,44.315663099998346,None,44.315663099998346,None,r,0.3004949999995006,44.315663099998346,None,44.315663099998346,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
FRIEND,old,y,,,,,0,9,9,0,,,,,,,46.68100589999813,None,46.68100589999813,None,,,,,,,,,,,45.13200539999889,None,45.13200539999889,None,2,0.9400080999985221,45.13200539999889,None,45.13200539999889,None,46.09813849999773,None,46.09813849999773,None,r,0.5658421000007365,46.09813849999773,None,46.09813849999773,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,10,10,28,,,,,,,49.39588119999826,None,49.39588119999826,None,,,,,,,,,,,47.1809820999988,None,47.1809820999988,None,5,1.083435799999279,47.1809820999988,None,47.1809820999988,None,48.280224799997086,None,48.280224799997086,None,r,1.0874022999996669,48.280224799997086,None,48.280224799997086,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,11,11,19,,,,,,,52.97748309999952,None,52.97748309999952,None,,,,,,,,,,,49.89602339999692,None,49.89602339999692,None,6,1.1037629000020388,49.89602339999692,None,49.89602339999692,None,51.02871979999691,None,51.02871979999691,None,r,1.9313798999974097,51.02871979999691,None,51.02871979999691,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,12,12,27,,,,,,,55.79253969999991,None,55.79253969999991,None,,,,,,,,,,,53.477302899998904,None,53.477302899998904,None,6,1.3385662000000593,53.477302899998904,None,53.477302899998904,None,54.84331079999902,None,54.84331079999902,None,r,0.9245690999996441,54.84331079999902,None,54.84331079999902,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
None,None,None,,,,,0,13,13,16,,,,,,,58.7409332999996,None,58.7409332999996,None,,,,,,,,,,,56.29237099999955,None,56.29237099999955,None,2,1.0594048999992083,56.29237099999955,None,56.29237099999955,None,57.37503319999814,None,57.37503319999814,None,f,1.3369851999996172,57.37503319999814,None,57.37503319999814,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
PHONE,old,y,,,,,0,14,14,1,,,,,,,60.92306439999811,None,60.92306439999811,None,,,,,,,,,,,59.24063989999922,None,59.24063989999922,None,3,1.0073446000023978,59.24063989999922,None,59.24063989999922,None,60.273586199997226,None,60.273586199997226,None,f,0.6308291999994253,60.273586199997226,None,60.273586199997226,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
MOUNTAIN,old,y,,,,,0,15,15,2,,,,,,,62.4722428999994,None,62.4722428999994,None,,,,,,,,,,,61.42280089999986,None,61.42280089999986,None,3,0.7772552999995241,61.42280089999986,None,61.42280089999986,None,62.22246449999875,None,62.22246449999875,None,f,0.23394080000070971,62.22246449999875,None,62.22246449999875,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
GLOBE,old,y,,,,,0,16,16,7,,,,,,,64.0045020999969,None,64.0045020999969,None,,,,,,,,,,,62.972062499997264,None,62.972062499997264,None,3,0.7795187999981863,62.972062499997264,None,62.972062499997264,None,63.77137709999806,None,63.77137709999806,None,f,0.2125521000016306,63.77137709999806,None,63.77137709999806,None,10,001,2020_Aug_08_0134,untitled,2020.1.3,60.05551531810246,
