word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,7.7647770999974455,None,space,0.4210062000020116,7.7647770999974455,None,,,,,,,,,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
MOUNTAIN,old,y,0,0,0,2,,,,,,,,,,,8.82622160000028,None,8.82622160000028,None,8.733554200000071,None,8.733554200000071,None,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
FRIEND,old,y,0,1,1,0,,,,,,,,,,,9.425914299998112,None,9.425914299998112,None,9.325898299997789,None,9.325898299997789,None,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
PHONE,old,y,0,2,2,1,,,,,,,,,,,10.025872899997921,None,10.025872899997921,None,9.92556329999934,None,9.92556329999934,None,,,,,,,,,,,,,,,,,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
,,,,,,,,,,,,,,,,,,,,,,,,,10.52359979999892,None,space,0.3977708000020357,10.52359979999892,None,,,,,,,,,,,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
None,None,None,,,,,0,0,0,30,,,,,,,14.156713000000309,None,14.156713000000309,None,,,,,,,,,,,11.444124899997405,None,11.444124899997405,None,2,2.685428900000261,11.444124899997405,None,11.444124899997405,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
GLOBE,old,y,,,,,0,1,1,7,,,,,,,15.355791399997543,None,15.355791399997543,None,,,,,,,,,,,14.656433399999514,None,14.656433399999514,None,3,0.6811404999971273,14.656433399999514,None,14.656433399999514,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
None,None,None,,,,,0,2,2,21,,,,,,,16.488562499998807,None,16.488562499998807,None,,,,,,,,,,,15.85599849999926,None,15.85599849999926,None,4,0.6017141999982414,15.85599849999926,None,15.85599849999926,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
FRIEND,old,y,,,,,0,3,3,0,,,,,,,17.438238299997465,None,17.438238299997465,None,,,,,,,,,,,16.9883153999981,None,16.9883153999981,None,5,0.4214382999998634,16.9883153999981,None,16.9883153999981,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
MOUNTAIN,old,y,,,,,0,4,4,2,,,,,,,18.53742229999989,None,18.53742229999989,None,,,,,,,,,,,17.93836679999731,None,17.93836679999731,None,6,0.5752897999991546,17.93836679999731,None,17.93836679999731,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
None,None,None,,,,,0,5,5,32,,,,,,,19.8869429999977,None,19.8869429999977,None,,,,,,,,,,,19.037311899999622,None,19.037311899999622,None,1,0.8201948999994784,19.037311899999622,None,19.037311899999622,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
None,None,None,,,,,0,6,6,23,,,,,,,20.80281449999893,None,20.80281449999893,None,,,,,,,,,,,20.386831199997687,None,20.386831199997687,None,2,0.3987243999981729,20.386831199997687,None,20.386831199997687,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
LAND,old,y,,,,,0,7,7,6,,,,,,,21.735604599998624,None,21.735604599998624,None,,,,,,,,,,,21.302712799999426,None,21.302712799999426,None,3,0.4104544000001624,21.302712799999426,None,21.302712799999426,None,00,001,2020_Aug_08_0123,untitled,2020.1.3,60.05814829929193,
