word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,textconfscale.started,textconfscale.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,8.73570440000185,None,space,0.6254729000029329,8.73570440000185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,2020_Aug_08_0130,untitled,2020.1.3,60.04693268256997,
MOUNTAIN,old,y,0,0,0,2,,,,,,,,,,,9.995005000000674,None,9.995005000000674,None,9.90319079999972,None,9.90319079999972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,2020_Aug_08_0130,untitled,2020.1.3,60.04693268256997,
PHONE,old,y,0,1,1,1,,,,,,,,,,,10.594976600001246,None,10.594976600001246,None,10.494982000000164,None,10.494982000000164,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,2020_Aug_08_0130,untitled,2020.1.3,60.04693268256997,
FRIEND,old,y,0,2,2,0,,,,,,,,,,,11.19472339999993,None,11.19472339999993,None,11.094486300000426,None,11.094486300000426,None,,,,,,,,,,,,,,,,,,,,,,,,,,,08,001,2020_Aug_08_0130,untitled,2020.1.3,60.04693268256997,
,,,,,,,,,,,,,,,,,,,,,,,,,11.692695900001127,None,space,0.5486524000007194,11.692695900001127,None,,,,,,,,,,,,,,,,,,,,,08,001,2020_Aug_08_0130,untitled,2020.1.3,60.04693268256997,
[,None,None,,,,,0,0,0,36,,,,,,,16.6751062000003,None,16.6751062000003,None,,,,,,,,,,,12.764273400000093,None,12.764273400000093,None,2,1.461009800001193,12.764273400000093,None,12.764273400000093,None,14.742636300001323,None,14.742636300001323,None,r,1.9147733000027074,14.742636300001323,None,14.742636300001323,None,08,001,2020_Aug_08_0130,untitled,2020.1.3,60.04693268256997,
PHONE,old,y,,,,,0,1,1,1,,,,,,,20.672590400001354,None,20.672590400001354,None,,,,,,,,,,,17.17449200000192,None,17.17449200000192,None,1,1.1868442000013602,17.17449200000192,None,17.17449200000192,None,18.89034620000166,None,18.89034620000166,None,n,1.766763899999205,18.89034620000166,None,18.89034620000166,None,08,001,2020_Aug_08_0130,untitled,2020.1.3,60.04693268256997,
,,,,,,,,,,,,,,,,,22.27178030000141,None,22.27178030000141,None,,,,,,,,,,,21.172886299998936,None,21.172886299998936,None,3,1.0765081999998074,21.172886299998936,None,21.172886299998936,None,,,,,,,,,,,,,,,,,
