rand,word,corr,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,polygon_5.started,polygon_5.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0.9782307258595832,tapycer,1,new,,,,,0,1,1,16,,,,,,,43.82645870000124,None,43.82645870000124,None,,,,,,,,,,,39.162680400011595,None,39.162680400011595,None,1,3.273716800031252,39.162680400011595,None,39.162680400011595,None,39.162680400011595,None,42.460580500017386,None,42.460580500017386,None,42.96028200001456,None,42.96028200001456,None,n,0.8516643000184558,42.96028200001456,None,42.96028200001456,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.6221295328909459,plat,0,old,,,,,0,2,2,7,,,,,,,47.85780880000675,None,47.85780880000675,None,,,,,,,,,,,44.32621319999453,None,44.32621319999453,None,1,2.2940713000134565,44.32621319999453,None,44.32621319999453,None,44.32621319999453,None,46.642029399983585,None,46.642029399983585,None,47.1418096999987,None,47.1418096999987,None,n,0.6944497000076808,47.1418096999987,None,47.1418096999987,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.4248473413222744,gnow ,1,old,,,,,0,3,3,4,,,,,,,52.488594399997965,None,52.488594399997965,None,,,,,,,,,,,48.35721719998401,None,48.35721719998401,None,6,2.286788900033571,48.35721719998401,None,48.35721719998401,None,48.35721719998401,None,50.6729407000239,None,50.6729407000239,None,51.17283509997651,None,51.17283509997651,None,r,1.2953212999855168,51.17283509997651,None,51.17283509997651,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.28538286921036493,wrye,0,old,,,,,0,4,4,9,,,,,,,56.903052899986506,None,56.903052899986506,None,,,,,,,,,,,52.98808859998826,None,52.98808859998826,None,6,2.7122333999723196,52.98808859998826,None,52.98808859998826,None,52.98808859998826,None,55.720370700000785,None,55.720370700000785,None,56.21959410002455,None,56.21959410002455,None,r,0.6645188999827951,56.21959410002455,None,56.21959410002455,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.4878824864579495,myght ,0,old,,,,,0,5,5,3,,,,,,,60.68425069999648,None,60.68425069999648,None,,,,,,,,,,,57.4026228999719,None,57.4026228999719,None,6,2.09745619999012,57.4026228999719,None,57.4026228999719,None,57.4026228999719,None,59.51811489998363,None,59.51811489998363,None,60.01802349998616,None,60.01802349998616,None,r,0.642256399965845,60.01802349998616,None,60.01802349998616,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.589872843501822,thombe,0,new,,,,,0,6,6,18,,,,,,,64.58165730000474,None,64.58165730000474,None,,,,,,,,,,,61.18362279998837,None,61.18362279998837,None,1,1.8284890999784693,61.18362279998837,None,61.18362279998837,None,61.18362279998837,None,63.032865400018636,None,63.032865400018636,None,63.53281720000086,None,63.53281720000086,None,r,1.0315448000328615,63.53281720000086,None,63.53281720000086,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.32912866595588885,gyse ,0,old,,,,,0,7,7,1,,,,,,,74.59288140002172,None,74.59288140002172,None,,,,,,,,,,,65.08115350001026,None,65.08115350001026,None,6,5.971594400005415,65.08115350001026,None,65.08115350001026,None,65.08115350001026,None,71.07789449999109,None,71.07789449999109,None,71.5777589000063,None,71.5777589000063,None,r,2.9860506000113674,71.5777589000063,None,71.5777589000063,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.9192702825520197,wityng,1,new,,,,,0,8,8,10,,,,,,,81.78899700002512,None,81.78899700002512,None,,,,,,,,,,,75.09269020002102,None,75.09269020002102,None,1,2.14346629998181,75.09269020002102,None,75.09269020002102,None,75.09269020002102,None,77.25819159997627,None,77.25819159997627,None,77.75791729998309,None,77.75791729998309,None,f,4.014600399998017,77.75791729998309,None,77.75791729998309,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.713081061318953,popet,0,new,,,,,0,9,9,13,,,,,,,92.53293039998971,None,92.53293039998971,None,,,,,,,,,,,82.28877980000107,None,82.28877980000107,None,1,3.091268800024409,82.28877980000107,None,82.28877980000107,None,82.28877980000107,None,85.40309829998296,None,85.40309829998296,None,85.90296869998565,None,85.90296869998565,None,n,6.613414900028147,85.90296869998565,None,85.90296869998565,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.9307065317309395,myre,1,old,,,,,0,10,10,8,,,,,,,96.51427520002471,None,96.51427520002471,None,,,,,,,,,,,93.0324355000048,None,93.0324355000048,None,6,1.6687758000334725,93.0324355000048,None,93.0324355000048,None,93.0324355000048,None,94.73180680000223,None,94.73180680000223,None,95.23077770002419,None,95.23077770002419,None,r,1.2611496999743395,95.23077770002419,None,95.23077770002419,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
0.49218093348448144,scole,0,old,,,,,0,11,11,0,,,,,,,100.81140800000867,None,100.81140800000867,None,,,,,,,,,,,97.01557930000126,None,97.01557930000126,None,6,1.7327210999792442,97.01557930000126,None,97.01557930000126,None,97.01557930000126,None,98.77930699998979,None,98.77930699998979,None,99.27911960001802,None,99.27911960001802,None,r,1.5008045000140555,99.27911960001802,None,99.27911960001802,None,,,61,001,2020_Aug_11_2217,untitled,2020.1.3,60.1482051787179,
