word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,polygon_5.started,polygon_5.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,12.558477499998844,None,space,0.7599544999975478,12.558477499998844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
VALLEY,old,0,0,0,2,,,,,,,,,,,13.951501799998368,None,13.951501799998368,None,13.866582399998151,None,13.866582399998151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
FRIEND,old,0,1,1,0,,,,,,,,,,,14.557197499998438,None,14.557197499998438,None,14.464850000000297,None,14.464850000000297,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
PHONE,old,0,2,2,1,,,,,,,,,,,15.151394199998322,None,15.151394199998322,None,15.050523599998996,None,15.050523599998996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
,,,,,,,,,,,,,,,,,,,,,,,,15.649235799999587,None,space,1.09371519999695,15.649235799999587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
PET,new,,,,,0,0,0,6,,,,,,,20.99622140000065,None,20.99622140000065,None,,,,,,,,,,,17.270907900001475,None,17.270907900001475,None,3,1.5756679000005533,17.270907900001475,None,17.270907900001475,None,17.270907900001475,None,18.86532090000037,None,18.86532090000037,None,19.377395999999862,None,19.377395999999862,None,r,1.5887314999999944,19.377395999999862,None,19.377395999999862,None,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
PHONE,old,,,,,0,1,1,1,,,,,,,23.315918500000407,None,23.315918500000407,None,,,,,,,,,,,21.497418399998423,None,21.497418399998423,None,3,0.668808700000227,21.497418399998423,None,21.497418399998423,None,21.497418399998423,None,22.21013039999889,None,22.21013039999889,None,22.726379600000655,None,22.726379600000655,None,r,0.5439066999970237,22.726379600000655,None,22.726379600000655,None,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
VALLEY,old,,,,,0,2,2,2,,,,,,,25.161762399999134,None,25.161762399999134,None,,,,,,,,,,,23.817872700001317,None,23.817872700001317,None,3,0.4926506000010704,23.817872700001317,None,23.817872700001317,None,23.817872700001317,None,24.32997869999963,None,24.32997869999963,None,24.844977500000823,None,24.844977500000823,None,r,0.2978034999978263,24.844977500000823,None,24.844977500000823,None,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
WIRE,new,,,,,0,3,3,7,,,,,,,26.822962300000654,None,26.822962300000654,None,,,,,,,,,,,25.663406299998314,None,25.663406299998314,None,3,0.2793781000000308,25.663406299998314,None,25.663406299998314,None,25.663406299998314,None,25.962114999998448,None,25.962114999998448,None,26.47662080000009,None,26.47662080000009,None,r,0.3133497000017087,26.47662080000009,None,26.47662080000009,None,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
GLOBE,old,,,,,0,4,4,5,,,,,,,28.576744800000597,None,28.576744800000597,None,,,,,,,,,,,27.32895279999866,None,27.32895279999866,None,3,0.2932733999987249,27.32895279999866,None,27.32895279999866,None,27.32895279999866,None,27.644810199999483,None,27.644810199999483,None,28.15938069999902,None,28.15938069999902,None,r,0.39224380000086967,28.15938069999902,None,28.15938069999902,None,,,01,001,2020_Aug_08_0220,untitled,2020.1.3,None,
