word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,textWait.started,textWait.stopped,key_respexit.keys,key_respexit.rt,key_respexit.started,key_respexit.stopped,polygon.started,polygon.stopped,textTesttrait.started,textTesttrait.stopped,key_conf.keys,key_conf.rt,key_conf.started,key_conf.stopped,polygon_5.started,polygon_5.stopped,textconfscale.started,textconfscale.stopped,polygon_4.started,polygon_4.stopped,text.started,text.stopped,polyBack.started,polyBack.stopped,textTestwordRFN.started,textTestwordRFN.stopped,key_TestRfn.keys,key_TestRfn.rt,key_TestRfn.started,key_TestRfn.stopped,textRFNscale.started,textRFNscale.stopped,textEnd.started,textEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.009078499999305,None,space,0.4235246000025654,8.009078499999305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
FRIEND,old,0,0,0,0,,,,,,,,,,,9.078663500000403,None,9.078663500000403,None,8.983184900000197,None,8.983184900000197,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
PHONE,old,0,1,1,1,,,,,,,,,,,9.678315900000598,None,9.678315900000598,None,9.578322199999093,None,9.578322199999093,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
VALLEY,old,0,2,2,2,,,,,,,,,,,10.277946399997745,None,10.277946399997745,None,10.178202799997962,None,10.178202799997962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
,,,,,,,,,,,,,,,,,,,,,,,,10.776509600000281,None,space,0.5201998000011372,10.776509600000281,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
PHONE,old,,,,,0,0,0,1,,,,,,,14.842068999998446,None,14.842068999998446,None,,,,,,,,,,,11.832046100000298,None,11.832046100000298,None,2,1.1126318000024185,11.832046100000298,None,11.832046100000298,None,11.832046100000298,None,12.976580799997464,None,12.976580799997464,None,13.476150899998174,None,13.476150899998174,None,r,1.3403655999973125,13.476150899998174,None,13.476150899998174,None,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
AUGUST,new,,,,,0,1,1,9,,,,,,,18.59007759999804,None,18.59007759999804,None,,,,,,,,,,,15.343950200000108,None,15.343950200000108,None,5,1.6086587000027066,15.343950200000108,None,15.343950200000108,None,15.343950200000108,None,16.974160599998868,None,16.974160599998868,None,17.47394699999859,None,17.47394699999859,None,r,1.087037600002077,17.47394699999859,None,17.47394699999859,None,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
STREET,new,,,,,0,2,2,8,,,,,,,20.80531179999889,None,20.80531179999889,None,,,,,,,,,,,19.09011349999855,None,19.09011349999855,None,3,0.742563899999368,19.09011349999855,None,19.09011349999855,None,19.09011349999855,None,19.855902799998148,None,19.855902799998148,None,20.355663899998035,None,20.355663899998035,None,r,0.4290653000025486,20.355663899998035,None,20.355663899998035,None,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
PET,new,,,,,0,3,3,6,,,,,,,24.220328100000188,None,24.220328100000188,None,,,,,,,,,,,21.305763500000467,None,21.305763500000467,None,2,0.6390127000013308,21.305763500000467,None,21.305763500000467,None,21.305763500000467,None,21.97141229999761,None,21.97141229999761,None,22.471173199999612,None,22.471173199999612,None,f,1.7215942000002542,22.471173199999612,None,22.471173199999612,None,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
TODAY,new,,,,,0,4,4,10,,,,,,,26.835431899999094,None,26.835431899999094,None,,,,,,,,,,,24.72041639999952,None,24.72041639999952,None,3,0.7121416999980283,24.72041639999952,None,24.72041639999952,None,24.72041639999952,None,25.452637300000788,None,25.452637300000788,None,25.952859099998022,None,25.952859099998022,None,r,0.863650700001017,25.952859099998022,None,25.952859099998022,None,,,40,001,2020_Aug_08_0147,untitled,2020.1.3,60.08369658970509,
