0.5361 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
9.7811 	EXP 	Created textBlank500 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textBlank500', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
9.7818 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor='black', fillColorSpace='named', fillRGB=array([0., 0., 0.]), interpolate=True, lineColor='black', lineColorSpace='named', lineRGB=array([0., 0., 0.]), lineWidth=1, name='polygon', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([2., 2.]), units='height', vertices=ndarray(...), win=Window(...))
9.7862 	EXP 	Created textTesttrait = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textTesttrait', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='default text', units='height', win=Window(...), wrapWidth=1)
9.8091 	EXP 	Created textconfscale = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textconfscale', opacity=1.0, ori=0, pos=array([ 0.  , -0.35]), rgb=array([255., 255., 255.]), text='1...2...3...4...5...6\nNEW.............OLD', units='height', win=Window(...), wrapWidth=1)
9.8097 	EXP 	Created polyback = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor='black', fillColorSpace='named', fillRGB=array([0., 0., 0.]), interpolate=True, lineColor='black', lineColorSpace='named', lineRGB=array([0., 0., 0.]), lineWidth=1, name='polyback', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([2., 2.]), units='height', vertices=ndarray(...), win=Window(...))
9.8102 	EXP 	Created textBlank500 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textBlank500', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='', units='height', win=Window(...), wrapWidth=1)
9.8197 	EXP 	Created textEnd = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='textEnd', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Thanks for participating ', units='height', win=Window(...), wrapWidth=1)
9.8502 	EXP 	weclomeText: autoDraw = True
10.1958 	DATA 	Keypress: space
10.2069 	EXP 	weclomeText: autoDraw = False
10.2069 	EXP 	polyback: autoDraw = True
10.2069 	EXP 	textBlank500: autoDraw = True
10.7151 	EXP 	Imported word.xlsx as conditions, 3 conditions, 3 params
10.7153 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
10.7156 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', 'FRIEND'), ('oldnew', 'old'), ('corr', 'y')])
10.7287 	EXP 	polyback: autoDraw = False
10.7287 	EXP 	textBlank500: autoDraw = False
10.7287 	EXP 	polyback: autoDraw = False
10.7287 	EXP 	textBlank500: autoDraw = False
10.7287 	EXP 	textstudy: text = 'FRIEND'
10.7287 	EXP 	polygon_3: autoDraw = True
10.7287 	EXP 	textstudy: autoDraw = True
10.8232 	EXP 	polygon_3: autoDraw = False
10.8232 	EXP 	textstudy: autoDraw = False
10.8232 	EXP 	polyback: autoDraw = True
10.8232 	EXP 	textBlank500: autoDraw = True
11.3072 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', 'PHONE'), ('oldnew', 'old'), ('corr', 'y')])
11.3231 	EXP 	polyback: autoDraw = False
11.3231 	EXP 	textBlank500: autoDraw = False
11.3231 	EXP 	textstudy: text = 'PHONE'
11.3231 	EXP 	polygon_3: autoDraw = True
11.3231 	EXP 	textstudy: autoDraw = True
11.4231 	EXP 	polygon_3: autoDraw = False
11.4231 	EXP 	textstudy: autoDraw = False
11.4231 	EXP 	polyback: autoDraw = True
11.4231 	EXP 	textBlank500: autoDraw = True
11.5912 	DATA 	Keypress: space
11.8418 	DATA 	Keypress: space
11.9068 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'MOUNTAIN'), ('oldnew', 'old'), ('corr', 'y')])
11.9225 	EXP 	polyback: autoDraw = False
11.9225 	EXP 	textBlank500: autoDraw = False
11.9225 	EXP 	textstudy: text = 'MOUNTAIN'
11.9225 	EXP 	polygon_3: autoDraw = True
11.9225 	EXP 	textstudy: autoDraw = True
12.0228 	EXP 	polygon_3: autoDraw = False
12.0228 	EXP 	textstudy: autoDraw = False
12.0228 	EXP 	polyback: autoDraw = True
12.0228 	EXP 	textBlank500: autoDraw = True
12.5208 	EXP 	polyback: autoDraw = False
12.5208 	EXP 	textBlank500: autoDraw = False
12.5208 	EXP 	textWait: autoDraw = True
13.1936 	DATA 	Keypress: space
13.2053 	EXP 	textWait: autoDraw = False
13.2053 	EXP 	polyback: autoDraw = True
13.2053 	EXP 	textBlank500: autoDraw = True
13.6975 	EXP 	Imported word.xlsx as conditions, 37 conditions, 3 params
13.6978 	EXP 	Created sequence: random, trialTypes=37, nReps=1, seed=None
13.6980 	EXP 	New trial (rep=0, index=0): OrderedDict([('word', '['), ('oldnew', None), ('corr', None)])
13.7093 	EXP 	polyback: autoDraw = False
13.7093 	EXP 	textBlank500: autoDraw = False
13.7093 	EXP 	polyback: autoDraw = False
13.7093 	EXP 	textBlank500: autoDraw = False
13.7093 	EXP 	textTesttrait: text = '['
13.7093 	EXP 	polygon: autoDraw = True
13.7093 	EXP 	textTesttrait: autoDraw = True
13.7093 	EXP 	textconfscale: autoDraw = True
15.0788 	DATA 	Keypress: 2
15.0875 	EXP 	polygon: autoDraw = False
15.0875 	EXP 	textTesttrait: autoDraw = False
15.0875 	EXP 	textconfscale: autoDraw = False
15.0875 	EXP 	polyback: autoDraw = True
15.0875 	EXP 	textBlank500: autoDraw = True
15.5727 	EXP 	New trial (rep=0, index=1): OrderedDict([('word', None), ('oldnew', None), ('corr', None)])
15.5874 	EXP 	polyback: autoDraw = False
15.5874 	EXP 	textBlank500: autoDraw = False
15.5874 	EXP 	polyback: autoDraw = False
15.5874 	EXP 	textBlank500: autoDraw = False
15.5874 	EXP 	textTesttrait: text = '['
15.5874 	EXP 	polygon: autoDraw = True
15.5874 	EXP 	textTesttrait: autoDraw = True
15.5874 	EXP 	textconfscale: autoDraw = True
16.2276 	DATA 	Keypress: 2
16.2370 	EXP 	polygon: autoDraw = False
16.2370 	EXP 	textTesttrait: autoDraw = False
16.2370 	EXP 	textconfscale: autoDraw = False
16.2370 	EXP 	polyback: autoDraw = True
16.2370 	EXP 	textBlank500: autoDraw = True
16.7221 	EXP 	New trial (rep=0, index=2): OrderedDict([('word', 'WIRE'), ('oldnew', 'new'), ('corr', 'n')])
16.7367 	EXP 	polyback: autoDraw = False
16.7367 	EXP 	textBlank500: autoDraw = False
16.7367 	EXP 	polyback: autoDraw = False
16.7367 	EXP 	textBlank500: autoDraw = False
16.7367 	EXP 	textTesttrait: text = 'WIRE'
16.7367 	EXP 	polygon: autoDraw = True
16.7367 	EXP 	textTesttrait: autoDraw = True
16.7367 	EXP 	textconfscale: autoDraw = True
17.4413 	DATA 	Keypress: 3
17.4695 	EXP 	polygon: autoDraw = False
17.4695 	EXP 	textTesttrait: autoDraw = False
17.4695 	EXP 	textconfscale: autoDraw = False
17.4695 	EXP 	polyback: autoDraw = True
17.4695 	EXP 	textBlank500: autoDraw = True
17.9551 	EXP 	New trial (rep=0, index=3): OrderedDict([('word', None), ('oldnew', None), ('corr', None)])
17.9694 	EXP 	polyback: autoDraw = False
17.9694 	EXP 	textBlank500: autoDraw = False
17.9694 	EXP 	polyback: autoDraw = False
17.9694 	EXP 	textBlank500: autoDraw = False
17.9694 	EXP 	textTesttrait: text = 'WIRE'
17.9694 	EXP 	polygon: autoDraw = True
17.9694 	EXP 	textTesttrait: autoDraw = True
17.9694 	EXP 	textconfscale: autoDraw = True
18.6592 	DATA 	Keypress: 1
