word,oldnew,corr,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,textBlank500.started,textBlank500.stopped,textstudy.started,textstudy.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,7.331230599998889,None,space,1.3565710000002582,7.331230599998889,None,,,,,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
HAMMER,old,y,0,0,0,8,,,,,,,10.224412699999448,None,9.230766499998936,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
AMYGDALA,new,n,0,1,1,18,,,,,,,11.723482100000183,None,10.724098999999114,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,2,2,24,,,,,,,13.222415700000056,None,12.2232372999988,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,3,3,23,,,,,,,14.721803500000533,None,13.722383000000264,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,4,4,29,,,,,,,16.22081409999919,None,15.221623499999623,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,5,5,33,,,,,,,17.72019999999975,None,16.720623299999716,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
FRIEND,old,y,0,6,6,0,,,,,,,19.219296999999642,None,18.219679499999984,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
MOUNTAIN,old,y,0,7,7,2,,,,,,,20.718436799999836,None,19.718996899999183,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,8,8,30,,,,,,,22.217730799999117,None,21.21822659999998,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,9,9,32,,,,,,,23.71675409999989,None,22.71718829999918,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,10,10,27,,,,,,,25.21588890000021,None,24.216490700000577,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
PUTAMEN,new,n,0,11,11,19,,,,,,,26.71510639999906,None,25.715558599998985,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
INSULA,new,n,0,12,12,15,,,,,,,28.21413279999979,None,27.21475239999927,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
GLASS,old,y,0,13,13,4,,,,,,,29.713430699999662,None,28.713943499999004,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,14,14,34,,,,,,,31.21245099999942,None,30.213081500000044,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,15,15,22,,,,,,,32.7116948999992,None,31.712210399999094,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
HIPPOCAMPUS,new,n,0,16,16,12,,,,,,,34.210841099999016,None,33.21148770000036,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
SCHIZOPHRENIA,new,n,0,17,17,11,,,,,,,35.70999549999942,None,34.71049889999995,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
VALLEY,old,y,0,18,18,3,,,,,,,37.20912870000029,None,36.20968229999926,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
STRIATUM,new,n,0,19,19,13,,,,,,,38.70832789999986,None,37.708953699999256,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,20,20,26,,,,,,,40.20765559999927,None,39.20817729999908,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
None,None,None,0,21,21,20,,,,,,,41.70671769999899,None,40.70721479999884,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
GLOBE,old,y,0,22,22,7,,,,,,,43.20574370000031,None,42.20640780000031,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
PHONE,old,y,0,23,23,1,,,,,,,44.70498299999963,None,43.70559150000008,None,00,001,2020_Aug_08_0111,untitled,2020.1.3,59.96339834217518,
