word,oldnew,trialsStudy.thisRepN,trialsStudy.thisTrialN,trialsStudy.thisN,trialsStudy.thisIndex,weclomeText.started,weclomeText.stopped,key_welcome.keys,key_welcome.rt,key_welcome.started,key_welcome.stopped,polyback.started,polyback.stopped,textBlank500.started,textBlank500.stopped,polygon_3.started,polygon_3.stopped,textstudy.started,textstudy.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.208025100000668,None,space,6.679970200002572,11.208025100000668,None,,,,,,,,,10,001,2020_Aug_08_0215,untitled,2020.1.3,60.080808687063424,
VALLEY,old,0,0,0,2,,,,,,,18.52244889999929,None,18.52244889999929,None,18.43183190000127,None,18.43183190000127,None,10,001,2020_Aug_08_0215,untitled,2020.1.3,60.080808687063424,
PHONE,old,0,1,1,1,,,,,,,19.121792199999618,None,19.121792199999618,None,19.02177429999938,None,19.02177429999938,None,10,001,2020_Aug_08_0215,untitled,2020.1.3,60.080808687063424,
FRIEND,old,0,2,2,0,,,,,,,19.721602800000255,None,19.721602800000255,None,19.621472099999664,None,19.621472099999664,None,10,001,2020_Aug_08_0215,untitled,2020.1.3,60.080808687063424,
